file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,202,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,203,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,204,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,15
style.css,205,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,45
style.css,206,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,207,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,208,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,27
style.css,209,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,59
style.css,210,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,211,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,212,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,48
style.css,213,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,33
style.css,214,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,13
style.css,215,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,22
style.css,216,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,11
style.css,217,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,12
style.css,218,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,219,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,220,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,39
style.css,221,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,16
style.css,222,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,11
style.css,223,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,224,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
style.css,225,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,38
style.css,226,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,42
style.css,227,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,19
style.css,228,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,18
style.css,229,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,25
style.css,230,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,32
style.css,231,css,c9707496,EliNalebuff,2025-04-26,21:32:51,-07:00,2025-04-26T21:32:51-07:00,0,0
